Date,Open,Close,Predicted_Open,%_error
17-04-2020,184.4838994,181.8954773,182.6490609,0.99%
20-04-2020,182.6013959,181.1895294,181.943801,0.36%
21-04-2020,176.9539417,173.8948975,174.656278,1.30%
22-04-2020,174.6008141,177.612793,178.3705502,-2.16%
23-04-2020,176.7186256,175.7303162,176.489908,0.13%
24-04-2020,173.1889479,169.1886597,169.9546266,1.87%
27-04-2020,172.718344,170.2711029,171.036015,0.97%
28-04-2020,171.306464,173.4713287,174.2331221,-1.71%
29-04-2020,174.1302053,178.9305573,179.6870303,-3.19%
30-04-2020,182.1307857,179.3070526,180.0631588,1.14%
04-05-2020,171.7300392,168.341568,169.1083605,1.53%
05-05-2020,170.3652106,160.3880157,161.1625594,5.40%
06-05-2020,161.0939562,161.0469055,161.820807,-0.45%
07-05-2020,160.8116137,160.7174835,161.491706,-0.42%
08-05-2020,162.3176039,156.8583832,157.6363666,2.88%
11-05-2020,158.0819928,155.7288818,156.507966,1.00%
12-05-2020,154.5523169,157.0936737,157.8714278,-2.15%
13-05-2020,168.0591858,163.8706512,164.6418009,2.03%
14-05-2020,160.9057185,158.0819855,158.8587764,1.27%
15-05-2020,158.0819784,156.6230469,157.4012596,0.43%
18-05-2020,156.623067,146.1752625,146.963657,6.17%
19-05-2020,148.2459893,143.8221436,144.6128314,2.45%
20-05-2020,144.0103794,144.3868713,145.1770088,-0.81%
21-05-2020,144.6221766,143.0220642,143.8135317,0.56%
22-05-2020,143.0691348,141.9867096,142.7791861,0.20%
26-05-2020,143.4456389,142.5043945,143.2963665,0.10%
27-05-2020,143.0220588,149.2813416,150.0667091,-4.93%
28-05-2020,150.0814016,148.9048462,149.6905807,0.26%
29-05-2020,146.9282407,151.8227081,152.605599,-3.86%
01-06-2020,154.3640924,160.0586243,160.8334889,-4.19%
02-06-2020,159.9174154,160.2468567,161.0215379,-0.69%
03-06-2020,162.3646461,164.6236267,165.3940425,-1.87%
04-06-2020,164.6236269,163.8235779,164.5947734,0.02%
05-06-2020,166.1767018,176.7657013,177.5242841,-6.83%
08-06-2020,185.4251371,175.8244476,176.5839477,4.77%
09-06-2020,176.6715625,173.6125183,174.374174,1.30%
10-06-2020,173.7066407,176.6715546,177.4302291,-2.14%
11-06-2020,176.9539473,166.7414398,167.5097917,5.34%
12-06-2020,160.0115512,168.6239319,169.3904492,-5.86%
15-06-2020,167.4003133,163.4941406,164.2656572,1.87%
16-06-2020,167.5415021,162.7411499,163.5134003,2.40%
17-06-2020,160.9527844,162.788208,163.5604125,-1.62%
18-06-2020,162.2705218,169.0945435,169.8606022,-4.68%
19-06-2020,169.7063532,173.6595764,174.4211863,-2.78%
22-06-2020,174.1301978,176.6715546,177.4302291,-1.90%
23-06-2020,178.4599335,181.1424713,181.8967888,-1.93%
24-06-2020,183.3543971,173.7537079,174.515226,4.82%
25-06-2020,171.494726,174.3655243,175.1264462,-2.12%
26-06-2020,176.9539328,173.7537079,174.515226,1.38%
29-06-2020,172.24773,168.7180634,169.484489,1.60%
30-06-2020,170.4593636,167.9650574,168.7322168,1.01%
01-07-2020,168.9062926,173.9419556,174.7032902,-3.43%
02-07-2020,174.7420027,174.5537567,175.3144952,-0.33%
03-07-2020,175.6832322,173.8478088,174.6092353,0.61%
06-07-2020,175.6362056,177.0010071,177.7593606,-1.21%
07-07-2020,176.0126953,177.518692,178.276541,-1.29%
08-07-2020,177.8010533,180.6247864,181.3796083,-2.01%
09-07-2020,181.4719214,187.4017639,188.1499814,-3.68%
10-07-2020,186.3664028,184.1074219,184.8588498,0.81%
13-07-2020,187.1193732,181.3777771,182.1318652,2.67%
14-07-2020,181.0012765,175.1184998,175.8786878,2.83%
15-07-2020,176.9068755,173.0007172,173.7629691,1.78%
16-07-2020,174.1302072,175.3067627,176.0667673,-1.11%
17-07-2020,175.8244451,177.1421814,177.9003973,-1.18%
20-07-2020,178.8364251,179.5423584,180.2982352,-0.82%
21-07-2020,181.1424816,182.9779053,183.730434,-1.43%
22-07-2020,184.2015191,180.7189178,181.4736481,1.48%
23-07-2020,181.0953996,186.6016846,187.3506818,-3.45%
24-07-2020,184.2015107,180.6718445,181.4266206,1.51%
27-07-2020,181.6601704,176.1538849,176.9130639,2.61%
28-07-2020,176.9539394,178.3187408,179.0758101,-1.20%
29-07-2020,176.5774409,179.9659119,180.7213759,-2.35%
30-07-2020,181.1895273,175.5891266,176.348856,2.67%
31-07-2020,176.9539427,180.2012329,180.9564676,-2.26%
03-08-2020,180.7189125,180.9542236,181.7087245,-0.55%
04-08-2020,181.9896155,180.3424377,181.0975349,0.49%
05-08-2020,181.4248535,180.2012329,180.9564676,0.26%
06-08-2020,181.0012763,179.7305908,180.4862842,0.28%
07-08-2020,180.2012406,179.4482422,180.2042107,0.00%
10-08-2020,180.5777386,182.4131622,183.1662413,-1.43%
11-08-2020,183.5426566,183.5897217,184.3416542,-0.44%
12-08-2020,184.4838938,191.3549805,192.0993454,-4.13%
13-08-2020,193.4257169,190.0372314,190.7828805,1.37%
14-08-2020,191.0726018,184.9545135,185.705116,2.81%
17-08-2020,186.7899206,181.7542725,182.5079937,2.29%
18-08-2020,182.4131592,183.6367798,184.3886664,-1.08%
19-08-2020,184.8603811,185.4721985,186.2222964,-0.74%
20-08-2020,182.6014092,183.3073425,184.0595502,-0.80%
21-08-2020,187.3076418,186.7428894,187.491749,-0.10%
24-08-2020,188.2488765,189.613678,190.3597398,-1.12%
25-08-2020,192.0138533,195.7317657,196.4718653,-2.32%
26-08-2020,196.2494559,197.5201416,198.2584983,-1.02%
27-08-2020,198.1319369,202.9793396,203.712376,-2.82%
28-08-2020,204.2500202,211.6387939,212.3633913,-3.97%
31-08-2020,217.9451384,199.543808,200.2801925,8.11%
01-09-2020,200.5791786,205.2854004,206.0161894,-2.71%
02-09-2020,205.4265713,203.5440826,204.2765687,0.56%
03-09-2020,204.7206548,200.626236,201.3615656,1.64%
04-09-2020,197.6613152,194.4610901,195.2024279,1.24%
07-09-2020,195.3082156,195.6847076,196.424853,-0.57%
08-09-2020,195.6846797,192.0608978,192.8045748,1.47%
09-09-2020,189.2842514,183.401474,184.1535899,2.71%
10-09-2020,186.0840113,186.5075684,187.2566573,-0.63%
11-09-2020,186.8840789,190.7902374,191.5351527,-2.49%
14-09-2020,193.8022081,186.8370056,187.5857735,3.21%
15-09-2020,188.1547493,188.3900604,189.1373148,-0.52%
