Date,Open,Close,Predicted_Open,%_error
12-03-2020,1505.351965,1460.637085,1465.063623,-2.68%
13-03-2020,1395.782905,1465.621948,1469.985609,5.32%
16-03-2020,1412.7316,1379.53186,1384.981429,-1.96%
17-03-2020,1387.807001,1318.715698,1324.932378,-4.53%
18-03-2020,1322.005819,1168.4198,1176.532255,-11.00%
19-03-2020,1091.751524,1207.202637,1214.8259,11.27%
20-03-2020,1213.333997,1258.547363,1265.522984,4.30%
23-03-2020,1134.073541,1094.941772,1103.981051,-2.65%
24-03-2020,1149.676493,1149.427246,1157.779266,0.70%
25-03-2020,1136.566056,1286.263794,1292.88981,13.75%
26-03-2020,1296.084121,1368.814331,1374.399086,6.04%
27-03-2020,1431.674495,1394.88562,1400.141522,-2.20%
30-03-2020,1341.147847,1289.802979,1296.384353,-3.34%
31-03-2020,1324.298975,1292.146118,1298.697937,-1.93%
01-04-2020,1290.999437,1178.090576,1186.081048,-8.13%
03-04-2020,1178.090601,1137.413452,1145.91701,-2.73%
07-04-2020,1217.322106,1194.441284,1202.225514,-1.24%
08-04-2020,1181.231119,1184.07251,1191.987528,0.91%
09-04-2020,1211.340178,1269.065796,1275.908741,5.33%
13-04-2020,1246.234889,1247.132202,1254.251809,0.64%
15-04-2020,1262.037033,1170.214478,1178.304295,-6.63%
16-04-2020,1161.440862,1127.443604,1136.072917,-2.18%
17-04-2020,1183.77342,1182.676758,1190.609381,0.58%
20-04-2020,1216.325001,1174.202271,1182.241788,-2.80%
21-04-2020,1146.53591,1126.745728,1135.383844,-0.97%
22-04-2020,1123.654956,1148.679321,1157.040775,2.97%
23-04-2020,1168.469735,1245.885864,1253.021192,7.24%
24-04-2020,1215.328136,1235.816284,1243.078626,2.28%
27-04-2020,1248.129117,1299.67334,1306.130213,4.65%
28-04-2020,1306.153613,1322.653809,1328.820815,1.74%
29-04-2020,1323.002682,1323.850098,1330.002014,0.53%
30-04-2020,1335.963675,1353.111816,1358.894637,1.72%
04-05-2020,1291.099191,1273.95105,1280.732374,-0.80%
05-05-2020,1293.093234,1234.619873,1241.897306,-3.96%
06-05-2020,1227.291981,1242.196899,1249.378758,1.80%
07-05-2020,1226.793638,1196.186157,1203.948378,-1.86%
08-05-2020,1218.31918,1213.782837,1221.3231,0.25%
11-05-2020,1236.81328,1184.870117,1192.775074,-3.56%
12-05-2020,1174.451504,1153.714111,1162.012058,-1.06%
13-05-2020,1211.390068,1183.125366,1191.052331,-1.68%
14-05-2020,1175.348862,1169.566284,1177.664278,0.20%
15-05-2020,1176.295868,1174.75061,1182.783211,0.55%
18-05-2020,1171.460712,1110.295532,1119.141145,-4.47%
19-05-2020,1146.535836,1127.044678,1135.679023,-0.95%
20-05-2020,1126.596162,1156.605469,1164.866945,3.40%
21-05-2020,1161.490726,1146.785156,1155.170503,-0.54%
22-05-2020,1136.566095,1156.7052,1164.965419,2.50%
26-05-2020,1156.505762,1149.726196,1158.074445,0.14%
27-05-2020,1160.443924,1213.882568,1221.421574,5.25%
28-05-2020,1220.313047,1225.746582,1233.135939,1.05%
29-05-2020,1212.83558,1220.312988,1227.770883,1.23%
01-06-2020,1245.237695,1244.639526,1251.790575,0.53%
02-06-2020,1319.014778,1338.854858,1344.817511,1.96%
03-06-2020,1359.891291,1382.373413,1387.787139,2.05%
04-06-2020,1375.893009,1330.380493,1336.450038,-2.87%
05-06-2020,1339.951539,1333.770264,1339.797051,-0.01%
08-06-2020,1350.918539,1332.723511,1338.763502,-0.90%
