Date,Open,Close,Predicted_Open,%_error
23-09-2020,344.7104638,340.1188354,341.4722016,0.94%
24-09-2020,333.4489168,324.5073242,325.9091808,2.26%
25-09-2020,327.745614,337.0255432,338.3885173,-3.25%
28-09-2020,339.7804905,350.8970642,352.2169525,-3.66%
29-09-2020,351.6221024,345.1454773,346.4832304,1.46%
30-09-2020,345.0488412,342.9221802,344.266839,0.23%
01-10-2020,346.3054866,356.8904114,358.1916839,-3.43%
05-10-2020,358.3886857,360.6603394,361.9499022,-0.99%
06-10-2020,364.5269731,367.9102783,369.1773224,-1.28%
07-10-2020,366.6536248,369.8919373,371.1528262,-1.23%
08-10-2020,372.1635841,374.5802307,375.8265575,-0.98%
09-10-2020,377.6735029,388.1134033,389.3176951,-3.08%
12-10-2020,389.9984281,390.5783997,391.775035,-0.46%
13-10-2020,387.6300803,383.0384521,384.2585071,0.87%
14-10-2020,381.2018424,393.2367249,394.4251033,-3.47%
15-10-2020,393.3333981,377.9635315,379.1993495,3.59%
16-10-2020,380.863535,382.8935242,384.1140293,-0.85%
19-10-2020,388.6450985,403.1933289,404.3507814,-4.04%
20-10-2020,399.713342,400.7766724,401.9416312,-0.56%
21-10-2020,402.1299705,406.2865906,407.4344353,-1.32%
22-10-2020,402.5166672,399.1333618,400.3034249,0.55%
23-10-2020,403.096661,403.0483398,404.2062427,-0.28%
26-10-2020,404.1116214,390.9650879,392.1605222,2.96%
27-10-2020,392.8017309,396.2817078,397.4606283,-1.19%
28-10-2020,396.2333507,382.8451233,384.0657787,3.07%
29-10-2020,379.17184,386.5667725,387.7758682,-2.27%
30-10-2020,386.083491,379.5102234,380.7412373,1.38%
02-11-2020,403.0966081,403.5316162,404.688018,-0.39%
03-11-2020,410.8298725,429.0513916,430.1285273,-4.70%
04-11-2020,422.7198141,422.4781494,423.575702,-0.20%
05-11-2020,430.1630721,423.8797913,424.9729903,1.21%
06-11-2020,425.1848127,428.036438,429.1167262,-0.92%
09-11-2020,434.9963731,447.2729492,448.2934875,-3.06%
10-11-2020,469.6027094,467.7177429,468.6747783,0.20%
11-11-2020,468.587785,470.3277588,471.2766873,-0.57%
12-11-2020,465.5428351,460.8062134,461.7847165,0.81%
13-11-2020,456.9395145,469.3610535,470.3129846,-2.93%
14-11-2020,473.5177007,470.6660461,471.6139239,0.40%
17-11-2020,474.1460762,470.1827698,471.1321486,0.64%
18-11-2020,471.7293981,481.0576477,481.9732485,-2.17%
19-11-2020,473.6627207,462.7878113,463.7601594,2.09%
20-11-2020,463.5128108,464.1894836,465.1574781,-0.35%
23-11-2020,465.7361531,452.6379395,453.6418137,2.60%
24-11-2020,458.1961865,462.2561646,463.230164,-1.10%
25-11-2020,468.829434,456.9395447,457.9300579,2.32%
26-11-2020,459.2595363,459.4528503,460.4355571,-0.26%
27-11-2020,460.5161681,457.5678711,458.5564327,0.43%
01-12-2020,463.7061661,468.9261169,469.8793991,-1.33%
02-12-2020,470.1344324,464.4311523,465.3983961,1.01%
03-12-2020,466.0260885,465.7844238,466.7474643,-0.15%
04-12-2020,467.5727817,485.3109436,486.2133334,-3.99%
07-12-2020,488.1626069,493.4309082,494.3080768,-1.26%
08-12-2020,494.4458663,491.4492188,492.3325426,0.43%
09-12-2020,492.9959044,494.4458923,495.3199083,-0.47%
10-12-2020,491.159259,490.0476074,490.9352848,0.05%
11-12-2020,492.2708654,498.2641602,499.1263163,-1.39%
14-12-2020,500.8257906,508.2690735,509.1001537,-1.65%
15-12-2020,506.529127,500.7774963,501.6318459,0.97%
16-12-2020,502.7107783,495.3641968,496.2353604,1.29%
17-12-2020,496.8625147,493.3825378,494.2598567,0.52%
18-12-2020,496.8625031,499.9075012,500.7645531,-0.79%
21-12-2020,497.442542,478.0127258,478.9377843,3.72%
22-12-2020,480.7193477,483.6193237,484.5269678,-0.79%
23-12-2020,482.36266,486.8092957,487.7070314,-1.11%
24-12-2020,489.854254,496.4275208,497.2953817,-1.52%
28-12-2020,498.699236,502.7591553,503.6073497,-0.98%
29-12-2020,505.1274812,511.1690979,511.9911705,-1.36%
30-12-2020,513.9239997,511.1206665,511.9428895,0.39%
31-12-2020,512.4257213,517.2106934,518.0140004,-1.09%
01-01-2021,517.6939735,509.912384,510.7383601,1.34%
04-01-2021,514.5523837,513.9724121,514.7857774,-0.05%
05-01-2021,509.0907238,519.3372803,520.1339819,-2.17%
06-01-2021,520.7873421,528.47229,529.2406178,-1.62%
07-01-2021,533.7405227,523.0588989,523.844041,1.85%
08-01-2021,528.7622669,523.9772949,524.7595844,0.76%
